ieeg_subject	snsx_subject
sub-002	sub-022
sub-003	sub-026
sub-016	sub-029
sub-004	sub-032
sub-001	sub-046
sub-007	sub-048
sub-009	sub-049
sub-013	sub-051
sub-018	sub-052
sub-022	sub-054
sub-021	sub-055
sub-023	sub-056
sub-065	sub-058
sub-067	sub-059
sub-068	sub-060
sub-069	sub-061
sub-078	sub-070
sub-079	sub-071
sub-081	sub-080
sub-082	sub-081
sub-083	sub-087
sub-086	sub-089
sub-087	sub-090
sub-088	sub-092
sub-091	sub-095
sub-093	sub-097
sub-095	sub-100
