	Bandpower Delta	Bandpower Theta	Bandpower Alpha	Bandpower Beta	Bandpower Gamma	Error Delta	Error Theta	Error Alpha	Error Beta	Error Gamma	std_dev	autocorr	type
15	0.6277708071936428	0.16723427137479832	0.11256497580211507	0.0688892872079823	0.023540658421461427	0.3655	0.7425	1.5208	-0.0455	-0.6301	55.672862365605354	845595.7703138695	normal
16	0.6851294400963274	0.09173690547862731	0.10084286574352798	0.09519867549668873	0.02709211318482841	-0.6682	-1.4392	0.6708	-0.1896	-0.7128	61.7954968925439	1070086.5640192123	normal
17	0.49009284420289856	0.19180253623188406	0.15862771739130435	0.14379528985507248	0.01568161231884058	-0.7486	1.7432	4.0073	1.4268	-1.0763	63.24697559429574	1062430.9452133202	normal
18	0.3401659751037344	0.15145228215767634	0.265850622406639	0.2167634854771784	0.025767634854771782	-0.828	2.3393	11.8244	4.896	0.197	61.59920117219549	666923.506308751	normal
19	0.6441462285978714	0.15217822436702585	0.06266939908772394	0.09935876247768889	0.04164738546968996	0.195	0.0523	-0.065	0.2149	0.5205	32.69273052492949	264338.0903641773	normal
20	0.7126860481290861	0.10356099596605926	0.05515370705244123	0.0838781471692864	0.044721101683127	-0.0115	-1.1277	-0.4299	0.0033	0.5631	36.97878035347485	331725.01580142113	normal
21	0.5594357199893533	0.23774287995741286	0.09566143199361193	0.0789459675272824	0.028214000532339634	1.1457	3.1645	1.3795	0.0574	0.2717	54.7407212012635	569911.8450732484	normal
22	0.47164210197385553	0.12999322951929587	0.08744336232487891	0.18868808916202282	0.12223321701994688	-0.4773	0.2291	1.5373	4.6276	6.5035	15.15864449969195	47912.269829941295	normal
23	0.3747558487781588	0.15334866964712013	0.10312947610573378	0.30504796215113505	0.06371804331785236	-0.5386	1.7341	3.2848	7.4619	3.3991	66.68808813024819	822605.7271019565	normal
24	0.5741218495733279	0.13660117748230466	0.05285440232850432	0.15962161804590855	0.07680095256995434	-0.8207	-0.4284	-0.3045	1.7205	3.0143	57.20742262045898	920425.909865234	normal
25	0.6285617597292725	0.20040609137055837	0.04825719120135365	0.08372250423011846	0.03905245346869713	-0.2723	0.8465	-0.6334	-0.2286	0.4678	129.70606006631107	4769887.636375547	normal
26	0.43463671529104725	0.23633313137903716	0.1279768840005593	0.18362306007363569	0.01743020925572075	-0.204	4.6786	3.4088	2.6927	-0.853	40.69903681911713	314934.85952794785	normal
27	0.8342712666177309	0.09795285865753199	0.017779952695538698	0.02887203327624174	0.021123888752956524	0.1506	-1.5723	-1.6273	-1.4511	-0.9501	25.6100518893004	195571.14229297248	normal
28	0.5806067479444287	0.1588885738588035	0.07530479160759852	0.13189679614403174	0.05330309044513751	0.6506	0.8049	0.7747	1.8787	1.433	41.647042229084555	392869.757660962	normal
29	0.5487905216389666	0.1864406779661017	0.07942515495584444	0.14382096429159125	0.04152268114749603	0.7336	1.6156	1.0991	2.3977	0.6708	70.12758107225731	1103759.2868170373	normal
30	0.74009382894262	0.1606640202093107	0.02988090941898231	0.05463731504871887	0.014723926380368098	0.3106	-0.0786	-1.2185	-0.8886	-1.2824	124.34553346181704	4343809.096057002	normal
31	0.7186637031050043	0.14790866841786218	0.040277497137468844	0.056442378931770724	0.03670775240789385	0.6459	-0.1235	-0.838	-0.5325	-0.0058	46.65988071162231	530242.7097382088	normal
32	0.7747767214059349	0.14217804667242867	0.035796600403341976	0.03082685105157015	0.016421780466724288	0.6904	-0.4276	-1.0553	-1.3677	-1.174	95.45132494411759	2493650.6138231508	normal
33	0.4174846625766871	0.2507887817703769	0.12581069237510956	0.1177475898334794	0.08816827344434706	0.3088	5.0277	3.4784	2.7512	7.936	26.967855243274936	114510.4567790796	normal
34	0.6538740920096852	0.15641646489104116	0.0647094430992736	0.08232445520581114	0.042675544794188856	1.0105	0.4579	0.0257	0.5669	1.1275	76.08357645573761	1613648.2028605295	normal
35	0.635261128636523	0.11798107255520504	0.04780932351910269	0.09162285313704872	0.10732562215212058	-0.2734	-0.8049	-0.6767	0.4267	6.0285	41.488248834694275	489257.34553729655	normal
36	0.7408730442237622	0.11209544902479104	0.03365006787168679	0.04772451239551333	0.06565692648424662	0.4773	-0.9992	-1.1472	-0.708	3.1702	103.2460308880943	3005780.749597508	normal
37	0.7760695187165775	0.11861259655377303	0.044711824123588824	0.03988413547237076	0.02072192513368984	0.3756	-0.9386	-0.816	-1.2051	-0.9049	121.36247709786534	4206683.02224621	normal
38	0.736797153024911	0.14049822064056938	0.05274021352313167	0.04903914590747331	0.02092526690391459	0.4239	-0.3726	-0.5662	-0.9417	-0.8946	114.36700501900471	3557031.8404516266	normal
39	0.7032504276878536	0.15396762731938413	0.07658902487169364	0.04546650875115146	0.020726411369917094	0.4345	0.137	0.2397	-0.8804	-0.8992	42.71579441342486	498816.1318756183	normal
40	0.7712276906435911	0.11867418681913001	0.052847098817893845	0.03731746890210925	0.019933554817275746	-0.0438	-0.9397	-0.7302	-1.2387	-1.0842	66.56824335352961	1347846.2001052566	normal
41	0.9097222222222222	0.03293650793650794	0.03988095238095238	0.013095238095238096	0.004365079365079365	-3.1416	-3.0551	-1.7231	-1.9867	-1.9349	17.03774689092948	328399.43779227947	normal
0	0.5648669471937414	0.13240087714099447	0.0885438274165827	0.14769157826112725	0.06649676998755408	-0.3502	-0.0498	1.0118	2.547	1.9384	22.21175897039173	130161.20511987121	abnormal
1	0.37111969782486004	0.17535709634003388	0.3003082533755916	0.13020448921113187	0.023010463248382757	-0.7278	2.583	11.9768	2.3723	-0.1848	24.53255297037925	103848.78861882324	abnormal
2	0.31635950427896736	0.14772202691665778	0.16686197223109975	0.3350023081566706	0.03405418841660452	0.1635	2.771	8.3406	13.3507	0.817	69.49657181077178	625297.2698378514	abnormal
3	0.6444732500589206	0.1790596276219656	0.06098279519208107	0.10116662738628328	0.014317699740749468	1.1359	1.1571	0.1199	0.952	-1.3698	63.57956151328751	865945.110613175	abnormal
4	0.5176241480038949	0.17444011684518015	0.08563777994157742	0.19591041869522882	0.026387536514118792	1.1605	1.9609	1.7734	4.9001	-0.4685	42.16285705634354	349260.5982846499	abnormal
5	0.28698007351518673	0.2237570129618882	0.2986651189785259	0.16014703037337977	0.030450764171019544	-1.0708	5.2014	15.3517	4.1146	0.663	27.218643673245236	108646.58761239563	abnormal
6	0.44468032584547024	0.2851147864724759	0.10234509997531474	0.1297951123179462	0.03806467538879289	0.1876	4.5734	2.3324	2.5234	0.6355	15.20255532694506	39206.97626615168	abnormal
