	Bandpower Delta	Bandpower Theta	Bandpower Alpha	Bandpower Beta	Bandpower Gamma	Error Delta	Error Theta	Error Alpha	Error Beta	Error Gamma	std_dev	autocorr	type
57	0.5979988564894224	0.14385363064608345	0.0746140651801029	0.1297884505431675	0.05374499714122355	0.5647	0.3448	0.7675	1.6477	1.4431	40.91172216790877	263995.6652671647	normal
58	0.5419962969197105	0.2018178757784885	0.07591314593502778	0.14021208550749034	0.040060595859282955	0.6911	1.7146	0.9755	2.2206	0.5853	73.75098951111778	808537.2114356251	normal
59	0.5476036618201401	0.17140549273021005	0.08599892299407648	0.15137318255250407	0.04361873990306948	0.4432	1.1842	1.5249	2.3456	0.853	66.28272600283915	744314.5758178794	normal
60	0.7207596978807657	0.17804502456552027	0.027132067170198726	0.05741732052504216	0.016645889858473272	0.0414	0.1202	-1.2577	-0.7772	-1.1391	124.66487710533484	3322299.9319482474	normal
61	0.7566072967538064	0.14521689169778798	0.03310830221200804	0.05221200804366561	0.012855501292731972	0.5455	-0.329	-1.0972	-0.8308	-1.3192	124.01669759495007	3104513.48440026	normal
62	0.6973083790754581	0.15627273328483568	0.04563190265194102	0.06057800410025793	0.04020898088750745	0.6312	0.1128	-0.6163	-0.3491	0.2358	45.90785100303672	409129.79535140935	normal
63	0.7448943785528809	0.13706224998245492	0.033756754859990176	0.0511614850164924	0.03312513158818163	0.3826	-0.4447	-1.0167	-0.6794	-0.2001	47.399256071415294	411853.5363122136	normal
64	0.7579405366207396	0.15090645395213922	0.03843364757070341	0.03437273386511965	0.01834662799129804	0.5504	-0.2745	-0.9716	-1.1737	-1.0356	94.3500637035458	1755219.2621613464	normal
65	0.7958336368271542	0.13183771578410663	0.030810692694296742	0.027095928326899263	0.014422026367543158	0.57	-0.6137	-1.1455	-1.3452	-1.2198	96.53940844350677	1830110.8620987406	normal
66	0.37100273180138194	0.23605977824200544	0.15539129037441746	0.13301462317210347	0.10453157641009157	0.0184	4.5631	5.4962	3.6203	10.8095	24.784547469357804	69421.65350717047	normal
67	0.44983680999006664	0.2648408306134998	0.10174542358450404	0.10694858332150796	0.07662835249042145	0.2055	4.6277	2.1977	1.821	6.1263	28.98634143174817	96195.03067068783	normal
68	0.638380618425247	0.1565827223461906	0.07268090532355753	0.08900223143130379	0.04335352247370099	0.3678	0.1886	0.2176	0.5548	1.1313	73.91668586735484	1186286.6602453857	normal
69	0.6696396504249971	0.15042499700706335	0.05854184125463906	0.07895366934035676	0.042439841972943856	0.937	0.4077	-0.076	0.4699	1.161	78.17571792281217	1075206.417792904	normal
70	0.6152887139107611	0.1267060367454068	0.0479002624671916	0.09809711286089239	0.11200787401574802	-0.0337	-0.4569	-0.5109	0.737	7.0837	39.89730533807063	323279.3476624031	normal
71	0.6589508492409439	0.10491507590560649	0.046820983015181124	0.08620171351270103	0.10311137832556741	-0.1481	-1.0399	-0.761	0.1085	5.277	43.01945966913408	343614.33272407786	normal
72	0.7222302995056702	0.11296888630415818	0.0379470776388485	0.0539400988659494	0.07291363768537365	0.2412	-0.9658	-0.9994	-0.5505	3.7648	97.84328258103115	2181208.915266862	normal
73	0.7587144799942739	0.10736525660296328	0.029990695011094408	0.04351871734306778	0.060410851048600674	0.5362	-0.9564	-1.218	-0.7449	2.8317	108.36700668644848	2388706.56987665	normal
74	0.7830233667143538	0.1109521538706088	0.04045461770783659	0.043236369416626924	0.022333492290573836	-0.0962	-1.154	-0.9492	-1.0751	-0.8176	114.82445211640376	3003683.5128875934	normal
75	0.770706998644503	0.12456303060569307	0.047727759149604046	0.037525861453948775	0.01947635014625098	0.7215	-0.6032	-0.6389	-1.1296	-0.8959	127.5657216054834	3383710.5105213253	normal
76	0.7475566150178785	0.12355979340484706	0.05196662693682957	0.05371473976956695	0.023202224870878033	-0.2952	-0.9626	-0.6904	-0.8775	-0.8262	106.75114365743374	2542822.488607384	normal
77	0.7309480493228219	0.1514048918536487	0.05275924802910855	0.04581901489117984	0.01906879590324102	0.889	0.1012	-0.4366	-0.8663	-0.9034	121.50603984187221	3143979.0953558153	normal
78	0.6898332009531374	0.15078104315594384	0.08134763039449297	0.05321683876092136	0.024821286735504364	0.2214	0.066	0.395	-0.6094	-0.6182	40.19368505103917	346529.23030713	normal
79	0.7058279370952821	0.15970662085370688	0.07526100171798598	0.041099511034756175	0.018104929298268797	0.4007	0.2403	0.2744	-0.9295	-0.9992	45.09577815279656	338250.5068509385	normal
80	0.771935307445894	0.10805531682162667	0.05781701695444955	0.0388311586842722	0.02336120009375732	-0.1305	-1.0804	-0.5792	-1.1071	-0.8713	62.199282528389205	890070.6752867776	normal
81	0.7716187969342728	0.12611287450646436	0.04869551753503136	0.036308740419602074	0.01726407060462956	0.2158	-0.6483	-0.7951	-1.1588	-1.1643	70.66501049339875	1241679.644777982	normal
82	0.8974916057673316	0.03476199881493185	0.045822634801501075	0.016393442622950817	0.005530317993284613	-2.3457	-2.7307	-1.6374	-1.8049	-1.8534	16.608033552613673	214400.33664173484	normal
83	0.9120857699805067	0.03391812865497076	0.03859649122807018	0.011500974658869395	0.003898635477582846	-2.3052	-2.7348	-1.7045	-1.8372	-1.884	17.42188962623711	160564.20291060663	normal
0	0.43571860324545497	0.26349560608174083	0.09703817361789184	0.13828055981773377	0.06546705723717859	-0.1941	4.2402	2.1989	2.6924	3.7485	11.627719334295415	18922.590019632997	abnormal
1	0.5234099165941769	0.26080949700660083	0.06140305991915263	0.09967763393542445	0.054699892544645135	0.3534	3.4871	0.4105	1.3856	2.3247	13.717952403396703	28433.48911954106	abnormal
2	0.5120737520297522	0.29427478916767064	0.07579487716725158	0.08669006338065058	0.031166518254674976	0.4235	4.1627	0.9789	0.6391	0.4395	16.19873198444669	37563.68871948294	abnormal
